,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,bathsheba,BB,13.2167,-59.5167,87.04,80,75,16.11,broken clouds
81,spring valley,US,36.108,-115.245,97.09,20,75,10.36,broken clouds
82,deming,US,32.2687,-107.7586,84.09,37,0,8.05,clear sky
83,grindavik,IS,63.8424,-22.4338,52.27,66,75,11.5,broken clouds
84,hithadhoo,MV,-0.6,73.0833,83.71,73,100,14.23,overcast clouds
85,sept-iles,CA,50.2001,-66.3821,63.12,69,75,13.8,broken clouds
86,biloela,AU,-24.4167,150.5,45.59,76,0,6.15,clear sky
87,mastic beach,US,40.7668,-72.8521,84.45,79,0,7.0,clear sky
88,kiama,AU,-34.6833,150.8667,45.57,75,29,1.99,scattered clouds
89,jamestown,US,42.097,-79.2353,73.94,63,0,9.22,clear sky
90,severo-kurilsk,RU,50.6789,156.125,52.5,97,84,7.54,broken clouds
91,severomuysk,RU,56.1481,113.4267,55.51,76,95,3.58,overcast clouds
92,khatanga,RU,71.9667,102.5,42.98,89,100,5.37,light rain
93,skjervoy,NO,70.0311,20.9714,57.2,94,100,6.85,overcast clouds
94,saint-philippe,RE,-21.3585,55.7679,71.19,80,67,12.28,light rain
95,diego de almagro,CL,-26.3667,-70.05,51.3,56,21,8.01,few clouds
96,bluff,NZ,-46.6,168.3333,35.8,87,100,10.42,overcast clouds
97,veresegyhaz,HU,47.6459,19.2954,97.97,21,86,7.65,overcast clouds
98,castro,BR,-24.7911,-50.0119,70.43,55,94,13.51,overcast clouds
99,fairbanks,US,64.8378,-147.7164,53.56,65,40,5.75,smoke
100,bambous virieux,MU,-20.3428,57.7575,70.21,73,75,11.5,broken clouds
101,georgetown,MY,5.4112,100.3354,82.89,90,20,0.0,few clouds
102,kibaya,TZ,-5.3,36.5667,63.91,61,86,8.48,overcast clouds
103,alekseyevsk,RU,57.8406,108.3492,55.22,91,100,2.48,overcast clouds
104,ribeira grande,PT,38.5167,-28.7,77.4,73,40,12.66,scattered clouds
105,callaway,US,30.153,-85.5699,87.94,80,63,7.0,broken clouds
106,mount isa,AU,-20.7333,139.5,51.57,35,15,8.05,few clouds
107,liberia,LR,6.5,-9.5,75.87,93,93,6.11,moderate rain
108,sitka,US,57.0531,-135.33,55.29,82,75,3.44,broken clouds
109,honningsvag,NO,70.9821,25.9704,60.55,88,76,2.3,broken clouds
110,yellowknife,CA,62.456,-114.3525,57.72,94,75,3.44,light intensity shower rain
111,qujing,CN,25.4833,103.7833,62.2,92,57,3.27,broken clouds
112,novomykolayivka,UA,47.9781,35.9102,72.23,47,25,13.85,scattered clouds
113,yichun,CN,47.7,128.9,63.37,95,99,7.36,overcast clouds
114,victoria,HK,22.2855,114.1577,88.18,83,99,5.01,overcast clouds
115,cuiaba,BR,-15.5961,-56.0967,89.53,29,0,11.5,clear sky
116,iqaluit,CA,63.7506,-68.5145,46.13,81,40,5.75,scattered clouds
117,norman wells,CA,65.282,-126.8329,48.24,93,100,10.36,light intensity drizzle
118,mahebourg,MU,-20.4081,57.7,70.25,73,75,11.5,broken clouds
119,makakilo city,US,21.3469,-158.0858,77.32,71,20,13.8,few clouds
120,busselton,AU,-33.65,115.3333,59.63,73,83,20.85,broken clouds
121,kavaratti,IN,10.5669,72.642,81.46,84,96,21.65,overcast clouds
122,penzance,GB,50.1186,-5.5371,68.68,63,0,24.16,clear sky
123,kilindoni,TZ,-7.9139,39.6668,76.28,78,76,12.33,light rain
124,sisimiut,GL,66.9395,-53.6735,52.41,54,0,16.11,clear sky
125,iberia,US,29.9502,-91.7507,87.96,70,40,6.91,scattered clouds
126,provideniya,RU,64.3833,-173.3,51.58,61,100,6.13,overcast clouds
127,trairi,BR,-3.2778,-39.2689,85.77,57,29,13.8,scattered clouds
128,flin flon,CA,54.7682,-101.865,67.84,56,75,9.22,broken clouds
129,faanui,PF,-16.4833,-151.75,77.36,74,45,25.05,light rain
130,chuy,UY,-33.6971,-53.4616,60.15,82,83,10.58,broken clouds
131,piacabucu,BR,-10.4056,-36.4344,79.68,64,26,11.14,scattered clouds
132,batticaloa,LK,7.7102,81.6924,83.44,59,40,14.29,scattered clouds
133,pemangkat,ID,1.1667,108.9667,79.57,76,88,3.36,overcast clouds
134,clifton,US,40.8584,-74.1638,86.9,60,20,9.22,few clouds
135,terrace bay,CA,48.7834,-87.1,55.2,66,3,5.21,clear sky
136,carmo do rio claro,BR,-20.9719,-46.1189,78.6,37,32,11.39,scattered clouds
137,estelle,US,29.8458,-90.1067,88.0,76,75,5.75,broken clouds
138,narsaq,GL,60.9167,-46.05,59.22,78,100,9.93,light rain
139,yongan,CN,39.6957,113.6871,70.77,52,33,4.18,scattered clouds
140,sakti,IN,22.0333,82.9667,79.29,86,100,6.69,moderate rain
141,dubbo,AU,-32.25,148.6167,35.73,93,0,3.44,clear sky
142,zhigansk,RU,66.7697,123.3711,58.95,98,88,8.57,light rain
143,yumen,CN,40.2833,97.2,65.77,65,100,7.45,overcast clouds
144,viedma,AR,-40.8135,-62.9967,51.98,63,100,19.95,overcast clouds
145,chandbali,IN,20.7833,86.7667,82.18,83,100,6.85,light rain
146,souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,broken clouds
147,benicarlo,ES,40.4165,0.4271,92.89,65,0,6.38,clear sky
148,punta alta,AR,-38.8759,-62.0736,53.82,60,100,11.52,overcast clouds
149,moberly,US,39.4184,-92.4382,86.43,45,0,0.0,clear sky
150,inirida,CO,3.8653,-67.9239,84.27,74,90,1.95,overcast clouds
151,kumbo,CM,6.2,10.6667,63.68,94,97,2.04,moderate rain
152,hasaki,JP,35.7333,140.8333,73.8,91,100,10.54,light rain
153,setermoen,NO,68.861,18.3486,57.43,91,100,1.99,light rain
154,mae sot,TH,16.7167,98.5667,77.41,97,100,0.92,overcast clouds
155,moengo,SR,5.6167,-54.4,86.34,68,45,3.31,scattered clouds
156,ilulissat,GL,69.2167,-51.1,50.02,57,20,6.91,few clouds
157,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,55.99,100,100,2.24,fog
158,saint george,US,37.1041,-113.5841,92.95,31,0,4.61,clear sky
159,ostrovnoy,RU,68.0531,39.5131,64.98,87,96,4.97,light rain
160,sorland,NO,67.667,12.6934,53.46,90,100,13.06,light rain
161,bengkulu,ID,-3.8004,102.2655,76.91,93,99,5.39,overcast clouds
162,avera,US,33.194,-82.5271,81.91,54,87,7.43,overcast clouds
163,uthal,PK,25.8072,66.6219,86.65,77,98,5.46,overcast clouds
164,presidente venceslau,BR,-21.8761,-51.8439,86.7,24,51,16.44,broken clouds
165,nanga eboko,CM,4.6833,12.3667,74.44,94,41,2.93,moderate rain
166,port hardy,CA,50.6996,-127.4199,53.78,94,100,3.44,light rain
167,carnarvon,AU,-24.8667,113.6333,67.93,82,6,10.67,clear sky
168,xining,CN,36.6167,101.7667,64.08,91,100,4.41,overcast clouds
169,dargaville,NZ,-35.9333,173.8833,54.55,89,100,11.18,overcast clouds
170,saint-augustin,CA,51.226,-58.6502,69.58,41,29,9.73,scattered clouds
171,samarai,PG,-10.6167,150.6667,76.35,75,100,19.51,overcast clouds
172,strenci,LV,57.6257,25.6854,70.16,49,56,9.95,broken clouds
173,bartow,US,27.8964,-81.8431,90.05,75,40,4.61,scattered clouds
174,phayao,TH,19.25,100.25,74.23,96,100,2.39,heavy intensity rain
175,manokwari,ID,-0.8667,134.0833,77.7,82,63,3.29,broken clouds
176,zeya,RU,53.75,127.2667,68.11,74,79,4.03,broken clouds
177,vung tau,VN,10.346,107.0843,79.93,82,100,13.04,overcast clouds
178,ouesso,CG,1.6136,16.0517,81.48,62,91,2.04,overcast clouds
179,san patricio,US,28.017,-97.5169,90.91,45,2,8.59,clear sky
180,qui nhon,VN,13.7667,109.2333,80.64,87,97,5.77,overcast clouds
181,karonga,MW,-9.9333,33.9333,71.01,69,0,3.74,clear sky
182,longyearbyen,SJ,78.2186,15.6401,53.44,76,0,1.14,clear sky
183,airai,TL,-8.9266,125.4092,54.36,89,51,2.71,broken clouds
184,kahului,US,20.8947,-156.47,76.84,79,0,14.97,clear sky
185,padang,ID,-0.9492,100.3543,73.45,88,100,6.8,moderate rain
186,juneau,US,58.3019,-134.4197,55.22,93,75,0.0,broken clouds
187,merauke,ID,-8.4667,140.3333,74.1,78,73,15.75,broken clouds
188,dong hoi,VN,17.4833,106.6,80.58,87,49,3.22,scattered clouds
189,vuktyl,RU,63.8567,57.3094,77.4,59,18,15.35,few clouds
190,soderhamn,SE,61.3037,17.0592,64.96,56,100,12.19,overcast clouds
191,olafsvik,IS,64.8945,-23.7142,50.81,73,24,3.11,few clouds
192,makurdi,NG,7.7411,8.5121,82.83,74,62,7.23,light rain
193,aklavik,CA,68.2191,-135.0107,41.0,81,100,12.66,shower rain
194,chivay,PE,-15.6383,-71.6011,53.71,34,36,4.92,scattered clouds
195,rumonge,BI,-3.9736,29.4386,74.93,59,19,2.28,few clouds
196,de-kastri,RU,51.4667,140.7833,59.41,98,100,4.65,overcast clouds
197,isla mujeres,MX,21.2311,-86.731,86.16,66,52,11.43,broken clouds
198,ahipara,NZ,-35.1667,173.1667,55.15,88,85,10.13,overcast clouds
199,nemuro,JP,43.3236,145.575,59.72,90,100,10.71,overcast clouds
200,colac,AU,-38.3333,143.5833,46.17,96,17,4.47,few clouds
201,galveston,US,29.3669,-94.9669,91.18,76,0,5.75,clear sky
202,santo antonio do ica,BR,-3.1022,-67.9397,81.3,86,75,3.09,broken clouds
203,dikson,RU,73.5069,80.5464,42.28,75,9,12.39,clear sky
204,ajdabiya,LY,30.7554,20.2263,80.62,51,0,23.6,clear sky
205,vao,NC,-22.6667,167.4833,71.04,65,12,25.1,few clouds
206,acarau,BR,-2.8856,-40.12,86.02,57,8,15.61,clear sky
207,huarmey,PE,-10.0681,-78.1522,65.84,70,18,10.42,few clouds
208,yerbogachen,RU,61.2767,108.0108,52.74,94,100,3.42,moderate rain
209,monaco-ville,FR,43.731,7.4248,91.38,74,40,5.75,scattered clouds
210,anadyr,RU,64.75,177.4833,52.3,93,75,2.24,broken clouds
211,san rafael,AR,-34.6177,-68.3301,49.1,37,100,4.16,overcast clouds
212,luganville,VU,-15.5333,167.1667,74.68,83,51,3.76,broken clouds
213,butembo,CD,0.15,29.2833,65.25,66,78,2.37,broken clouds
214,east london,ZA,-33.0153,27.9116,63.54,63,0,13.8,clear sky
215,esperance,AU,-33.8667,121.9,60.19,86,71,15.32,broken clouds
216,vostok,RU,46.4856,135.8833,58.75,93,100,5.17,overcast clouds
217,tselinnoye,RU,53.0833,85.6667,54.68,61,100,3.8,overcast clouds
218,namibe,AO,-15.1961,12.1522,66.45,84,19,11.54,few clouds
219,guadalupe y calvo,MX,26.1,-106.9667,71.02,43,89,6.22,overcast clouds
220,daru,PG,-9.0763,143.2092,74.46,82,100,16.89,overcast clouds
221,port lincoln,AU,-34.7333,135.8667,50.86,73,40,11.79,scattered clouds
222,geraldton,AU,-28.7667,114.6,61.21,77,40,8.05,scattered clouds
223,gigmoto,PH,13.7796,124.39,81.18,84,67,4.59,broken clouds
224,muroto,JP,33.2833,134.15,76.91,88,77,4.61,light rain
225,da lat,VN,11.9465,108.4419,61.81,100,99,2.55,overcast clouds
226,rawson,AR,-43.3002,-65.1023,47.35,56,100,14.56,overcast clouds
227,poltavka,RU,54.3663,71.7632,71.46,70,68,8.97,broken clouds
228,mackay,AU,-21.15,149.2,52.68,61,9,15.08,clear sky
229,alamos,MX,27.0167,-108.9333,87.08,50,26,1.61,scattered clouds
230,hualmay,PE,-11.0964,-77.6139,64.74,69,41,10.27,scattered clouds
231,cabo san lucas,MX,22.8909,-109.9124,91.71,45,20,4.61,few clouds
232,kudahuvadhoo,MV,2.6708,72.8944,82.89,75,34,11.52,scattered clouds
233,kruisfontein,ZA,-34.0033,24.7314,56.88,85,26,11.03,scattered clouds
234,lima,PE,-12.0432,-77.0282,69.91,65,100,8.05,overcast clouds
235,torbay,CA,47.6666,-52.7314,77.88,57,40,10.36,scattered clouds
236,manicore,BR,-5.8092,-61.3003,89.55,62,0,4.61,clear sky
237,nabire,ID,-3.3667,135.4833,76.42,91,100,3.4,overcast clouds
238,odesskoye,RU,54.2111,72.9651,69.08,81,99,6.89,moderate rain
239,constitucion,CL,-35.3333,-72.4167,46.53,80,96,9.13,overcast clouds
240,ellisras,ZA,-23.6649,27.7443,65.82,21,0,7.27,clear sky
241,roebourne,AU,-20.7833,117.1333,65.88,61,32,5.46,scattered clouds
242,ughelli,NG,5.4899,6.0074,78.58,84,81,7.16,light rain
243,chara,RU,56.9064,118.2631,64.78,84,100,2.39,light rain
244,bozeman,US,45.6796,-111.0386,75.2,55,0,1.99,clear sky
245,nyurba,RU,63.2842,118.3319,60.85,93,60,4.29,broken clouds
246,asau,RO,46.4333,26.4,81.52,58,71,1.05,broken clouds
247,mehamn,NO,71.0357,27.8492,60.75,82,75,3.44,broken clouds
248,stornoway,GB,58.2093,-6.3865,57.92,85,75,14.97,light intensity shower rain
249,ixtapa,MX,20.7,-105.2,85.23,79,75,4.0,broken clouds
250,omsukchan,RU,62.5333,155.8,57.38,82,44,5.26,scattered clouds
251,astoria,US,46.1879,-123.8313,60.89,76,100,4.61,overcast clouds
252,kaitangata,NZ,-46.2817,169.8464,38.59,94,95,6.49,overcast clouds
253,laguna,US,38.421,-121.4238,79.97,70,0,6.91,clear sky
254,mount gambier,AU,-37.8333,140.7667,46.31,100,100,8.05,mist
255,camacha,PT,33.0833,-16.3333,71.02,68,20,10.36,few clouds
256,nouadhibou,MR,20.931,-17.0347,71.58,78,21,20.71,few clouds
257,carmen,MX,18.6333,-91.8333,84.24,74,75,13.8,broken clouds
258,leningradskiy,RU,69.3833,178.4167,33.69,83,100,10.27,overcast clouds
259,maridi,SS,4.9158,29.4742,70.09,93,95,4.29,moderate rain
260,takoradi,GH,4.8845,-1.7554,77.45,80,71,11.05,broken clouds
261,lebowakgomo,ZA,-24.2,29.5,68.9,22,0,5.84,clear sky
262,sioux lookout,CA,50.1001,-91.917,69.87,68,40,5.75,scattered clouds
263,gannan,CN,47.9147,123.5031,64.85,97,100,7.61,overcast clouds
264,kulhudhuffushi,MV,6.6221,73.07,82.45,81,79,15.08,broken clouds
265,emba,KZ,48.8264,58.1442,91.18,21,14,7.52,few clouds
266,aswan,EG,24.0934,32.907,105.1,14,0,12.66,clear sky
267,riyadh,SA,24.6877,46.7219,105.94,6,22,12.97,few clouds
268,tigre,AR,-34.426,-58.5796,57.25,78,0,10.36,clear sky
269,lixourion,GR,38.2019,20.4314,86.0,62,0,20.71,clear sky
270,lakatoro,VU,-16.0999,167.4164,77.49,79,60,2.39,broken clouds
271,swiecie,PL,53.4095,18.4474,76.24,36,26,8.99,scattered clouds
272,kalmunai,LK,7.4167,81.8167,83.64,57,53,10.67,broken clouds
273,berlevag,NO,70.8578,29.0864,69.6,87,0,3.44,clear sky
274,alofi,NU,-19.0595,-169.9187,75.09,78,93,10.36,overcast clouds
275,gikongoro,RW,-2.464,29.5739,63.79,57,44,1.7,scattered clouds
276,bamako,ML,12.65,-8.0,95.41,43,40,5.75,scattered clouds
277,micheweni,TZ,-4.9667,39.8333,74.55,85,85,13.56,light rain
278,ugoofaaru,MV,5.6667,73.0,82.85,78,92,15.46,overcast clouds
279,iglesias,IT,39.3114,8.535,87.53,54,18,8.01,few clouds
280,arraial do cabo,BR,-22.9661,-42.0278,78.76,73,40,14.97,scattered clouds
281,port macquarie,AU,-31.4333,152.9167,50.9,85,57,12.8,broken clouds
282,eydhafushi,MV,5.1033,73.0708,83.34,77,42,15.68,scattered clouds
283,guanare,VE,9.0418,-69.7421,85.87,63,20,3.36,few clouds
284,karratha,AU,-20.7377,116.8463,66.02,60,18,5.79,few clouds
285,saint-joseph,RE,-21.3667,55.6167,70.18,79,56,10.27,light rain
286,hay river,CA,60.8156,-115.7999,62.58,63,75,13.8,broken clouds
287,mangan,IN,27.5167,88.5333,76.37,85,39,3.4,scattered clouds
288,ecoporanga,BR,-18.3733,-40.8306,77.36,57,92,7.09,overcast clouds
289,dunedin,NZ,-45.8742,170.5036,42.8,75,52,8.99,broken clouds
290,cherskiy,RU,68.75,161.3,36.48,79,26,8.7,scattered clouds
291,paita,PE,-5.0892,-81.1144,68.76,67,44,14.7,scattered clouds
292,harda,IN,22.3333,77.1,77.67,93,100,3.24,moderate rain
293,guerrero negro,MX,27.9769,-114.0611,68.76,73,24,13.4,few clouds
294,yulara,AU,-25.2406,130.9889,46.6,42,4,9.48,clear sky
295,poum,NC,-20.2333,164.0167,72.84,56,10,20.04,clear sky
296,baikunthpur,IN,23.25,82.55,78.12,80,89,7.31,overcast clouds
297,beruwala,LK,6.4788,79.9828,78.01,88,38,10.0,scattered clouds
298,nantucket,US,41.2835,-70.0995,78.91,91,75,10.36,mist
299,guasdualito,VE,7.2424,-70.7324,87.76,66,20,6.91,few clouds
300,hanyang,CN,32.1371,105.5126,75.31,90,52,2.08,broken clouds
301,grand gaube,MU,-20.0064,57.6608,70.38,70,43,7.0,scattered clouds
302,hilo,US,19.7297,-155.09,74.62,91,100,4.61,light rain
303,husavik,IS,66.0449,-17.3389,49.84,78,61,6.85,broken clouds
304,beringovskiy,RU,63.05,179.3167,46.81,98,100,6.29,moderate rain
305,buenavista,PH,8.9769,125.4089,76.66,92,57,4.29,broken clouds
306,leh,IN,34.1667,77.5833,62.55,57,87,9.01,overcast clouds
307,port-gentil,GA,-0.7193,8.7815,78.76,73,20,14.97,few clouds
308,gorontalo,ID,0.5412,123.0595,74.98,97,100,1.77,moderate rain
309,nouakchott,MR,18.0858,-15.9785,82.33,73,8,15.01,clear sky
310,mocajuba,BR,-2.5842,-49.5072,90.28,50,71,4.65,broken clouds
311,leshukonskoye,RU,64.8989,45.7622,69.78,82,100,2.04,light rain
312,baykit,RU,61.67,96.37,50.36,91,45,1.74,light rain
313,otane,NZ,-39.8833,176.6333,48.0,96,100,9.78,overcast clouds
314,cassilandia,BR,-19.1133,-51.7342,90.72,17,32,12.73,scattered clouds
315,port hedland,AU,-20.3167,118.5667,55.45,88,82,4.61,broken clouds
316,pangnirtung,CA,66.1451,-65.7125,48.2,87,20,11.5,few clouds
317,fort frances,CA,48.5999,-93.4003,73.17,53,0,4.0,clear sky
318,verkhnyaya inta,RU,65.9811,60.3094,76.35,68,53,9.01,broken clouds
319,tilichiki,RU,60.4667,166.1,56.95,79,4,8.12,clear sky
320,portland,US,45.5234,-122.6762,65.61,75,20,6.91,few clouds
321,isangel,VU,-19.55,169.2667,75.31,100,100,2.3,overcast clouds
322,kuhdasht,IR,33.535,47.6061,93.04,9,0,7.18,clear sky
323,san lorenzo de el escorial,ES,40.5914,-4.1474,103.37,13,22,7.43,few clouds
324,toma,BF,12.7667,-2.8833,98.4,31,47,6.49,scattered clouds
325,kwinana,AU,-32.25,115.7667,62.89,76,23,10.0,light rain
326,luderitz,NA,-26.6481,15.1594,66.34,48,0,16.24,clear sky
327,chililabombwe,ZM,-12.3648,27.8229,67.48,37,29,1.54,scattered clouds
328,asfi,MA,32.2994,-9.2372,73.92,77,15,16.6,few clouds
329,vila franca do campo,PT,37.7167,-25.4333,75.61,77,85,10.49,overcast clouds
330,pinerovka,RU,51.562,43.0689,61.11,89,78,10.83,heavy intensity rain
331,cidreira,BR,-30.1811,-50.2056,58.59,98,100,11.72,moderate rain
332,faya,SA,18.3851,42.4509,75.31,58,86,6.44,overcast clouds
333,kiruna,SE,67.8557,20.2251,58.12,88,75,12.66,broken clouds
334,mugur-aksy,RU,50.35,90.5,38.35,99,100,5.1,overcast clouds
335,grajau,BR,-5.8194,-46.1386,95.07,33,11,8.61,few clouds
336,angoche,MZ,-16.2325,39.9086,72.66,68,0,9.44,clear sky
337,loukhi,RU,66.0764,33.0381,71.49,49,32,5.46,scattered clouds
338,balta,UA,47.9355,29.6198,81.77,35,80,10.89,broken clouds
339,itarema,BR,-2.9248,-39.9167,85.91,57,7,15.61,clear sky
340,pisco,PE,-13.7,-76.2167,62.65,72,0,8.05,clear sky
341,qasigiannguit,GL,68.8193,-51.1922,50.25,55,22,6.64,few clouds
342,tambopata,PE,-12.7333,-69.1833,75.09,83,75,2.3,broken clouds
343,kourou,GF,5.1552,-52.6478,86.11,67,78,7.05,broken clouds
344,naze,JP,28.3667,129.4833,79.72,90,96,7.25,overcast clouds
345,andenes,NO,69.3143,16.1194,53.58,87,75,12.66,broken clouds
346,maniitsoq,GL,65.4167,-52.9,45.57,78,9,7.07,clear sky
347,takefu,JP,35.9039,136.1669,73.63,95,95,6.51,overcast clouds
348,chokurdakh,RU,70.6333,147.9167,43.25,64,27,7.47,scattered clouds
349,birnin kebbi,NG,12.4539,4.1975,95.04,38,27,9.98,scattered clouds
350,kavieng,PG,-2.5744,150.7967,80.38,83,100,15.39,light rain
351,balaipungut,ID,1.05,101.2833,76.42,96,95,0.74,overcast clouds
352,itainopolis,BR,-7.4469,-41.4783,93.97,26,8,10.83,clear sky
353,ascension,US,30.2169,-90.9001,87.17,81,0,4.61,clear sky
354,tual,ID,-5.6667,132.75,78.26,81,100,21.21,overcast clouds
355,huangmei,CN,30.1924,116.025,85.39,73,99,1.23,overcast clouds
356,russell,US,32.3502,-85.1999,79.88,74,100,0.6,moderate rain
357,el paso,US,31.8001,-106.2005,87.13,37,20,0.0,few clouds
358,hommelvik,NO,63.4108,10.7942,51.76,87,75,27.63,broken clouds
